Fid	Value	Feature	Reference	Area
95A	VO and Prepositions	Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase		Word Order	
96A	VO and NRel	Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun		Word Order	
97A	VO and NAdj	Relationship between the Order of Object and Verb and the Order of Adjective and Noun		Word Order	
98A	Nominative - accusative (standard)	Alignment of Case Marking of Full Noun Phrases		Simple Clauses	
99A	Nominative - accusative (standard)	Alignment of Case Marking of Pronouns		Simple Clauses	
100A	Accusative	Alignment of Verbal Person Marking	Green 1988: 98	Simple Clauses	
101A	Subject affixes on verb	Expression of Pronominal Subjects		Simple Clauses	
102A	Both the A and P arguments	Verbal Person Marking	Green 1988: 98, 107-109	Simple Clauses	
103A	No zero realization	Third Person Zero of Verbal Person Marking	Green 1988: 98	Simple Clauses	
104A	P precedes A	Order of Person Markers on the Verb	Green 1988: 98, 107-109	Simple Clauses	
105A	Indirect-object construction	Ditransitive Constructions: The Verb 'Give'		Simple Clauses	
106A	Mixed	Reciprocal Constructions	Green 1988	Simple Clauses	
107A	Present	Passive Constructions	Green 1988: 113	Simple Clauses	
108A	No antipassive	Antipassive Constructions		Simple Clauses	
108B	no antipassive	Productivity of the Antipassive Construction		Simple Clauses	
109A	No applicative construction	Applicative Constructions		Simple Clauses	
109B	No applicative construction	Other Roles of Applied Objects		Simple Clauses	
110A	Both	Periphrastic Causative Constructions		Simple Clauses	
111A	Both	Nonperiphrastic Causative Constructions		Simple Clauses	
112A	Negative particle	Negative Morphemes		Simple Clauses	
113A	Symmetric	Symmetric and Asymmetric Standard Negation		Simple Clauses	
114A	Non-assignable	Subtypes of Asymmetric Standard Negation		Simple Clauses	
115A	Mixed behaviour	Negative Indefinite Pronouns and Predicate Negation		Simple Clauses	
116A	Interrogative word order	Polar Questions	Butt and Benjamin 2000: 516-517	Simple Clauses	
117A	'Have'	Predicative Possession	Jarvis et al. 1981	Simple Clauses	
118A	Nonverbal encoding	Predicative Adjectives		Simple Clauses	
119A	Different	Nominal and Locational Predication		Simple Clauses	
120A	Impossible	Zero Copula for Predicate Nominals		Simple Clauses	
121A	Particle	Comparative Constructions		Simple Clauses	
122A	Gap	Relativization on Subjects		Complex Sentences	
123A	Relative pronoun	Relativization on Obliques		Complex Sentences	
124A	Subject is left implicit	'Want' Complement Subjects		Complex Sentences	
125A	Deranked	Purpose Clauses	Butt and Benjamin 2000: 206, 239, 260-1	Complex Sentences	
126A	Balanced/deranked	'When' Clauses	Butt and Benjamin 2000: 206-9, 260	Complex Sentences	
127A	Balanced/deranked	Reason Clauses	Butt and Benjamin 2000: 210-1, 260	Complex Sentences	
128A	Balanced/deranked	Utterance Complement Clauses	Butt and Benjamin 2000: 254	Complex Sentences	
129A	Different	Hand and Arm	Cuyás 1972	Lexicon	
130A	Different	Finger and Hand	Cuyás 1972	Lexicon	
131A	Decimal	Numeral Bases		Lexicon	
132A	6	Number of Non-Derived Basic Colour Categories		Lexicon	
133A	11	Number of Basic Colour Categories		Lexicon	
134A	Green vs. blue	Green and Blue		Lexicon	
135A	Red vs. yellow	Red and Yellow		Lexicon	
136A	M-T pronouns, paradigmatic	M-T Pronouns		Lexicon	
136B	m in first person singular	M in First Person Singular		Lexicon	
137A	No N-M pronouns	N-M Pronouns		Lexicon	
137B	No m in second person singular	M in Second Person Singular		Lexicon	
138A	Words derived from Min Nan Chinese te	Tea		Lexicon	
142A	Affective meanings	Para-Linguistic Usages of Clicks		Other	
143A	NegV	Order of Negative Morpheme and Verb	Green 1988: 116	Word Order	
143E	NegV	Preverbal Negative Morphemes	Green 1988: 116	Word Order	
143F	None	Postverbal Negative Morphemes	Green 1988: 116	Word Order	
143G	None	Minor morphological means of signaling negation	Green 1988: 116	Word Order	
144A	SNegVO	Position of Negative Word With Respect to Subject, Object, and Verb		Word Order	
144B	Immed preverbal	Position of negative words relative to beginning and end of clause and with respect to adjacency to verb		Word Order	
144D	SNegVO	The Position of Negative Morphemes in SVO Languages		Word Order	
144H	No NegSVO	NegSVO Order		Word Order	
144I	Word&NoDoubleNeg	SNegVO Order		Word Order	
144J	No SVNegO	SVNegO Order		Word Order	
144K	No SVONeg	SVONeg Order		Word Order	
