Fid	Value	Feature	Reference	Area
49A	8-9 cases	Number of Cases	Hinds 1986: 191-222; Kaiser et al. 2001: 110-115, 134-137, 144-152, 199-203, 225-232, 297-305, 321-328, 353-356, 363, 526-527, 611-613 	Nominal Categories	
50A	Symmetrical	Asymmetrical Case-Marking	Hinds 1986: 191-222; Kaiser et al. 2001: 110-115, 134-137, 144-152, 199-203, 225-232, 297-305, 321-328, 353-356, 363, 526-527, 611-613 	Nominal Categories	
51A	Postpositional clitics	Position of Case Affixes	Hinds 1986: passim	Nominal Categories	
52A	Differentiation	Comitatives and Instrumentals	Lewin et al. 1983: 325	Nominal Categories	
53A	One-th, two-th, three-th	Ordinal Numerals	Lewin et al. 1983: 321-322	Nominal Categories	
54A	Marked by suffix	Distributive Numerals	Gil 1991	Nominal Categories	
55A	Obligatory	Numeral Classifiers		Nominal Categories	
56A	Formally similar, with interrogative	Conjunctions and Universal Quantifiers	Fukushima 1991: 373	Nominal Categories	
57A	No possessive affixes	Position of Pronominal Possessive Affixes	Hinds 1986: passim	Nominal Categories	
58A	Absent	Obligatory Possessive Inflection	Shibatani 1990 ; Hinds 1986	Nominal Syntax	
58B	None reported	Number of Possessive Nouns	Shibatani 1990 ; Hinds 1986	Nominal Syntax	
59A	No possessive classification	Possessive Classification	Shibatani 1990 ; Hinds 1986	Nominal Syntax	
60A	Genitives and adjectives collapsed	Genitives, Adjectives and Relative Clauses		Nominal Syntax	
61A	Marked by mixed or other strategies	Adjectives without Nouns		Nominal Syntax	
62A	Double-Possessive	Action Nominal Constructions	Martin 1975: 869	Nominal Syntax	
63A	'And' identical to 'with'	Noun Phrase Conjunction	Martin 1975	Nominal Syntax	
64A	Differentiation	Nominal and Verbal Conjunction	Hinds 1986: 84-5, 93-4	Nominal Syntax	
65A	No grammatical marking	Perfective/Imperfective Aspect	Dahl 1985: 158	Verbal Categories	
66A	Present, no remoteness distinctions	The Past Tense	Dahl 1985: 158	Verbal Categories	
67A	No inflectional future	The Future Tense	Dahl 1985: 158	Verbal Categories	
68A	No perfect	The Perfect	Dahl 1985: 158	Verbal Categories	
69A	Tense-aspect suffixes	Position of Tense-Aspect Affixes	Hinds 1986: 291ff	Verbal Categories	
70A	Second person number-neutral	The Morphological Imperative	Hinds 1986: 312; Alpatov 2001: 106-108	Verbal Categories	
71A	Normal imperative + special negative	The Prohibitive	Alpatov 2001: 118-119; Sansom 1995: 146-147	Verbal Categories	
72A	Neither type of system	Imperative-Hortative Systems	Alpatov 2001: 107-114	Verbal Categories	
73A	Inflectional optative absent	The Optative	Hinds 1986	Verbal Categories	
74A	Affixes on verbs	Situational Possibility	Hinds 1986: 317-319	Verbal Categories	
75A	Other	Epistemic Possibility	Hinds 1986: 320f.; Johnson 1994: 77-85	Verbal Categories	
76A	Overlap for either possibility or necessity	Overlap between Situational and Epistemic Modal Marking	Hinds 1986: 315-321; Johnson 1994: 60, 70, 123	Verbal Categories	
77A	Indirect only	Semantic Distinctions of Evidentiality	Martin 1975: 984	Verbal Categories	
78A	Verbal affix or clitic	Coding of Evidentiality	Martin 1975: 984	Verbal Categories	
79A	None	Suppletion According to Tense and Aspect	Martin 1975	Verbal Categories	
79B	None (= no suppletive imperatives reported in the reference material)	Suppletion in Imperatives and Hortatives		Verbal Categories	
80A	None	Verbal Number and Suppletion	Martin 1975	Verbal Categories	
81A	SOV	Order of Subject, Object and Verb	Shibatani 1990: 257, 259 ; Hinds 1986: 75	Word Order	
82A	SV	Order of Subject and Verb	Shibatani 1990: 257, 259 ; Hinds 1986: 75	Word Order	
83A	OV	Order of Object and Verb	Shibatani 1990: 257, 259 ; Hinds 1986: 75	Word Order	
84A	XOV	Order of Object, Oblique, and Verb	Hinds 1986: 75	Word Order	
85A	Postpositions	Order of Adposition and Noun Phrase	Hinds 1986: 80, 350	Word Order	
86A	Genitive-Noun	Order of Genitive and Noun	Shibatani 1990: 257 ; Hinds 1986: 136	Word Order	
87A	Adjective-Noun	Order of Adjective and Noun	Shibatani 1990: 257 ; Hinds 1986: 82	Word Order	
88A	Demonstrative-Noun	Order of Demonstrative and Noun	Shibatani 1990: 257 ; Hinds 1986: 82, 137	Word Order	
89A	Numeral-Noun	Order of Numeral and Noun	Shibatani 1990: 257 ; Hinds 1986: 82-83; Kim 1991	Word Order	
90A	Relative clause-Noun	Order of Relative Clause and Noun	Shibatani 1990: 257 ; Hinds 1986: 59, 61	Word Order	
90B	Relative clause-Noun (RelN) dominant	Prenominal relative clauses	Shibatani 1990: 257 ; Hinds 1986: 59, 61	Word Order	
90D	Internally-headed occurs as nondominant type	Internally-headed relative clauses	Shibatani 1990: 257 ; Hinds 1986: 59, 61	Word Order	
91A	Degree word-Adjective	Order of Degree Word and Adjective	Hinds 1986: 76, 79, 80, 125	Word Order	
92A	Final	Position of Polar Question Particles	Hinds 1986: 7	Word Order	
93A	Not initial interrogative phrase	Position of Interrogative Phrases in Content Questions	Shibatani 1990: 257 ; Hinds 1986: 6, 27ff., 39	Word Order	
94A	Final subordinator word	Order of Adverbial Subordinator and Clause	Hinds 1986: 64, 67, 351	Word Order	
95A	OV and Postpositions	Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase		Word Order	
96A	OV and RelN	Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun		Word Order	
97A	OV and AdjN	Relationship between the Order of Object and Verb and the Order of Adjective and Noun		Word Order	
98A	Nominative - accusative (standard)	Alignment of Case Marking of Full Noun Phrases		Simple Clauses	
99A	Nominative - accusative (standard)	Alignment of Case Marking of Pronouns		Simple Clauses	
100A	Neutral	Alignment of Verbal Person Marking	Hinds 1986: 323	Simple Clauses	
101A	Optional pronouns in subject position	Expression of Pronominal Subjects	Hinds 1986: 75, 108	Simple Clauses	
102A	No person marking	Verbal Person Marking	Hinds 1986: 323	Simple Clauses	
103A	No person marking	Third Person Zero of Verbal Person Marking	Hinds 1986: 323	Simple Clauses	
104A	A and P do not or do not both occur on the verb	Order of Person Markers on the Verb	Hinds 1986: 323	Simple Clauses	
105A	Indirect-object construction	Ditransitive Constructions: The Verb 'Give'	Kuno 1973: 129	Simple Clauses	
106A	Distinct from reflexive	Reciprocal Constructions	Alpatov and Nedjalkov 2007	Simple Clauses	
107A	Present	Passive Constructions	Hinds 1986: 273-280	Simple Clauses	
108A	No antipassive	Antipassive Constructions		Simple Clauses	
108B	no antipassive	Productivity of the Antipassive Construction		Simple Clauses	
109A	No applicative construction	Applicative Constructions		Simple Clauses	
109B	No applicative construction	Other Roles of Applied Objects		Simple Clauses	
111A	Morphological but no compound	Nonperiphrastic Causative Constructions	Shibatani 1990: 307-317 	Simple Clauses	
112A	Negative affix	Negative Morphemes	Hinds 1986: 98	Simple Clauses	
113A	Asymmetric	Symmetric and Asymmetric Standard Negation	Shibatani 1990: 229-233 ; Hinds 1986: 97-100	Simple Clauses	
114A	A/Fin and A/Cat	Subtypes of Asymmetric Standard Negation	Shibatani 1990: 229-233 ; Hinds 1986: 97-100	Simple Clauses	
115A	Predicate negation also present	Negative Indefinite Pronouns and Predicate Negation	Hinds 1986	Simple Clauses	
116A	Question particle	Polar Questions	Hinds 1986: 7	Simple Clauses	
117A	Locational	Predicative Possession	Martin 1975	Simple Clauses	
118A	Mixed	Predicative Adjectives	Martin 1975	Simple Clauses	
119A	Different	Nominal and Locational Predication	Martin 1975	Simple Clauses	
120A	Impossible	Zero Copula for Predicate Nominals	Martin 1975	Simple Clauses	
121A	Locational	Comparative Constructions	Kuno 1973	Simple Clauses	
122A	Gap	Relativization on Subjects		Complex Sentences	
123A	Gap	Relativization on Obliques		Complex Sentences	
124A	Desiderative verbal affix	'Want' Complement Subjects	Shibatani 1990: 220 	Complex Sentences	
125A	Balanced/deranked	Purpose Clauses	Hinds 1986: 56-8, 65	Complex Sentences	
126A	Balanced/deranked	'When' Clauses	Kuno 1973: 184-94, 201-9	Complex Sentences	
127A	Balanced	Reason Clauses	Kuno 1973: 153-75	Complex Sentences	
128A	Balanced	Utterance Complement Clauses	Kuno 1973: 153-75, 213-22	Complex Sentences	
129A	Identical	Hand and Arm	Takahashi 1938	Lexicon	
130A	Different	Finger and Hand	Takahashi 1938	Lexicon	
131A	Decimal	Numeral Bases		Lexicon	
132A	6	Number of Non-Derived Basic Colour Categories		Lexicon	
133A	11	Number of Basic Colour Categories		Lexicon	
134A	Green vs. blue	Green and Blue		Lexicon	
135A	Red vs. yellow	Red and Yellow		Lexicon	
136A	No M-T pronouns	M-T Pronouns	Hinds 1986	Lexicon	
136B	No m in first person singular	M in First Person Singular	Hinds 1986	Lexicon	
137A	No N-M pronouns	N-M Pronouns	Hinds 1986	Lexicon	
137B	m in second person singular	M in Second Person Singular	Hinds 1986	Lexicon	
138A	Words derived from Sinitic cha	Tea	Malherbe and Rosenberg 1996: 995	Lexicon	
142A	Affective meanings	Para-Linguistic Usages of Clicks		Other	
143A	[V-Neg]	Order of Negative Morpheme and Verb	Hinds 1986: 98	Word Order	
143E	None	Preverbal Negative Morphemes	Hinds 1986: 98	Word Order	
143F	[V-Neg]	Postverbal Negative Morphemes	Hinds 1986: 98	Word Order	
143G	None	Minor morphological means of signaling negation	Hinds 1986: 98	Word Order	
144A	MorphNeg	Position of Negative Word With Respect to Subject, Object, and Verb	Hinds 1986: 98	Word Order	
144L	SO[V-Neg]	The Position of Negative Morphemes in SOV Languages	Hinds 1986: 98	Word Order	
144P	No NegSOV	NegSOV Order	Hinds 1986: 98	Word Order	
144Q	No SNegOV	SNegOV Order	Hinds 1986: 98	Word Order	
144R	No SONegV	SONegV Order	Hinds 1986: 98	Word Order	
144S	Suffix&NoDoubleNeg	SOVNeg Order	Hinds 1986: 98	Word Order	
