Fid	Value	Feature	Reference	Area
108B	no antipassive	Productivity of the Antipassive Construction		Simple Clauses	
109A	No applicative construction	Applicative Constructions		Simple Clauses	
109B	No applicative construction	Other Roles of Applied Objects		Simple Clauses	
110A	Sequential but no purposive	Periphrastic Causative Constructions		Simple Clauses	
111A	Morphological but no compound	Nonperiphrastic Causative Constructions		Simple Clauses	
112A	Negative particle	Negative Morphemes		Simple Clauses	
113A	Both	Symmetric and Asymmetric Standard Negation		Simple Clauses	
114A	A/Cat	Subtypes of Asymmetric Standard Negation		Simple Clauses	
115A	Mixed behaviour	Negative Indefinite Pronouns and Predicate Negation		Simple Clauses	
116A	Interrogative word order	Polar Questions		Simple Clauses	
117A	'Have'	Predicative Possession		Simple Clauses	
118A	Nonverbal encoding	Predicative Adjectives		Simple Clauses	
119A	Identical	Nominal and Locational Predication		Simple Clauses	
120A	Impossible	Zero Copula for Predicate Nominals		Simple Clauses	
121A	Particle	Comparative Constructions		Simple Clauses	
122A	Relative pronoun	Relativization on Subjects		Complex Sentences	
123A	Relative pronoun	Relativization on Obliques		Complex Sentences	
124A	Subject is left implicit	'Want' Complement Subjects		Complex Sentences	
125A	Balanced/deranked	Purpose Clauses		Complex Sentences	
126A	Balanced/deranked	'When' Clauses		Complex Sentences	
127A	Balanced/deranked	Reason Clauses		Complex Sentences	
128A	Balanced	Utterance Complement Clauses		Complex Sentences	
129A	Different	Hand and Arm		Lexicon	
130A	Different	Finger and Hand		Lexicon	
131A	Decimal	Numeral Bases		Lexicon	
132A	6	Number of Non-Derived Basic Colour Categories		Lexicon	
133A	11	Number of Basic Colour Categories		Lexicon	
134A	Green vs. blue	Green and Blue		Lexicon	
135A	Red vs. yellow	Red and Yellow		Lexicon	
136A	No M-T pronouns	M-T Pronouns		Lexicon	
136B	m in first person singular	M in First Person Singular		Lexicon	
137A	No N-M pronouns	N-M Pronouns		Lexicon	
137B	No m in second person singular	M in Second Person Singular		Lexicon	
138A	Words derived from Min Nan Chinese te	Tea		Lexicon	
142A	Affective meanings	Para-Linguistic Usages of Clicks		Other	
143A	NegV	Order of Negative Morpheme and Verb		Word Order	
143E	NegV	Preverbal Negative Morphemes		Word Order	
143F	None	Postverbal Negative Morphemes		Word Order	
143G	None	Minor morphological means of signaling negation		Word Order	
144A	SNegVO	Position of Negative Word With Respect to Subject, Object, and Verb		Word Order	
144B	Immed preverbal	Position of negative words relative to beginning and end of clause and with respect to adjacency to verb		Word Order	
144D	SNegVO	The Position of Negative Morphemes in SVO Languages		Word Order	
144H	No NegSVO	NegSVO Order		Word Order	
144I	Word&NoDoubleNeg	SNegVO Order		Word Order	
144J	No SVNegO	SVNegO Order		Word Order	
144K	No SVONeg	SVONeg Order		Word Order
