Fid	Value	Feature	Reference	Area
108A	No antipassive	Antipassive Constructions		Simple Clauses	
108B	no antipassive	Productivity of the Antipassive Construction		Simple Clauses	
109A	No applicative construction	Applicative Constructions		Simple Clauses	
109B	No applicative construction	Other Roles of Applied Objects		Simple Clauses	
110A	Purposive but no sequential	Periphrastic Causative Constructions		Simple Clauses	
111A	Morphological but no compound	Nonperiphrastic Causative Constructions		Simple Clauses	
112A	Negative particle	Negative Morphemes	Ramstedt 1968: passim	Simple Clauses	
113A	Both	Symmetric and Asymmetric Standard Negation	Chang 1996: 100-103 ; Song 1988: 72-75	Simple Clauses	
114A	A/Fin and A/NonReal	Subtypes of Asymmetric Standard Negation	Chang 1996: 100-103 ; Song 1988: 72-75	Simple Clauses	
115A	Predicate negation also present	Negative Indefinite Pronouns and Predicate Negation	Chang 1996: 105 	Simple Clauses	
116A	Interrogative verb morphology	Polar Questions	Ramstedt 1968: 80; Sohn 1999: 269 	Simple Clauses	
117A	Locational	Predicative Possession	Lizotte 1983	Simple Clauses	
118A	Mixed	Predicative Adjectives	Lee 1989	Simple Clauses	
119A	Different	Nominal and Locational Predication	Lee 1989	Simple Clauses	
120A	Impossible	Zero Copula for Predicate Nominals	Lee 1989	Simple Clauses	
121A	Locational	Comparative Constructions	Ramstedt 1968	Simple Clauses	
122A	Gap	Relativization on Subjects	Sohn 1994	Complex Sentences	
123A	Gap	Relativization on Obliques	Sohn 1994	Complex Sentences	
124A	Subject is left implicit	'Want' Complement Subjects	Chang 1996: 65, 126 	Complex Sentences	
125A	Balanced	Purpose Clauses	Chang 1996: 164-5 	Complex Sentences	
126A	Balanced	'When' Clauses	Chang 1996: 152-4 	Complex Sentences	
127A	Balanced	Reason Clauses	Chang 1996: 155-7 	Complex Sentences	
128A	Balanced	Utterance Complement Clauses	Chang 1996: 145 	Complex Sentences	
129A	Different	Hand and Arm	Underwood 1954	Lexicon	
130A	Different	Finger and Hand	Underwood 1954	Lexicon	
131A	Decimal	Numeral Bases	Sohn 1994: 380	Lexicon	
132A	6	Number of Non-Derived Basic Colour Categories		Lexicon	
133A	11	Number of Basic Colour Categories		Lexicon	
134A	Green vs. blue	Green and Blue		Lexicon	
135A	Red vs. yellow	Red and Yellow		Lexicon	
136A	No M-T pronouns	M-T Pronouns	Lee 1989	Lexicon	
136B	No m in first person singular	M in First Person Singular	Lee 1989	Lexicon	
137A	No N-M pronouns	N-M Pronouns	Lee 1989	Lexicon	
137B	No m in second person singular	M in Second Person Singular	Lee 1989	Lexicon	
138A	Words derived from Sinitic cha	Tea	Malherbe and Rosenberg 1996: 747	Lexicon	
142A	Affective meanings	Para-Linguistic Usages of Clicks		Other	
143A	NegV	Order of Negative Morpheme and Verb	Ramstedt 1968: 104, 159; Sohn 1999: 389 	Word Order	
143E	NegV	Preverbal Negative Morphemes	Ramstedt 1968: 104, 159; Sohn 1999: 389 	Word Order	
143F	None	Postverbal Negative Morphemes	Ramstedt 1968: 104, 159; Sohn 1999: 389 	Word Order	
143G	None	Minor morphological means of signaling negation	Ramstedt 1968: 104, 159; Sohn 1999: 389 	Word Order	
144A	SONegV	Position of Negative Word With Respect to Subject, Object, and Verb		Word Order	
144B	Immed preverbal	Position of negative words relative to beginning and end of clause and with respect to adjacency to verb		Word Order	
144L	SONegV	The Position of Negative Morphemes in SOV Languages		Word Order	
144P	No NegSOV	NegSOV Order		Word Order	
144Q	No SNegOV	SNegOV Order		Word Order	
144R	Word&NoDoubleNeg	SONegV Order		Word Order	
144S	NoSOVNeg	SOVNeg Order		Word Order
